1,hide new secretions from the parental units 
1,"contains no wit , only labored gags "
2,that loves its characters and communicates something rather beautiful about human nature 
1,remains utterly satisfied to remain the same throughout 
1,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up 
1,that 's far too tragic to merit such superficial treatment 
2,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . "
2,of saucy 
1,a depressed fifteen-year-old 's suicidal poetry 
2,are more deeply thought through than in most ` right-thinking ' films 
1,goes to absurd lengths 
1,for those moviegoers who complain that ` they do n't make movies like they used to anymore 
1,"the part where nothing 's happening , "
1,saw how bad this movie was 
1,lend some dignity to a dumb story 
2,the greatest musicians 
1,cold movie 
2,with his usual intelligence and subtlety 
1,redundant concept 
2,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . "
2,equals the original and in some ways even betters it 
2,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . "
2,a smile on your face 
2,"comes from the brave , uninhibited performances "
1,excruciatingly unfunny and pitifully unromantic 
2,enriched by an imaginatively mixed cast of antic spirits 
1,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening "
2,in world cinema 
2,very good viewing alternative 
1,"the plot is nothing but boilerplate clichés from start to finish , "
1,the action is stilted 
2,on all cylinders 
1,"will find little of interest in this film , which is often preachy and poorly acted "
1,by far the worst movie of the year 
1,"sit through , "
2,more than another `` best man '' clone by weaving a theme throughout this funny film 
2,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline 
2,heroes 
1,oblivious to the existence of this film 
2,sharply 
1,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . "
1,sometimes dry 
1,"as they come , already having been recycled more times than i 'd care to count "
2,"covers this territory with wit and originality , suggesting that with his fourth feature "
1,a $ 40 million version of a game 
2,gorgeous and deceptively minimalist 
2,cross swords with the best of them and 
1,as a fringe feminist conspiracy theorist 
2,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . "
1,disappointments 
1,the horrors 
2,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . 
1,many pointless 
2,a beautifully 
1,"contrived , well-worn situations "
1,a doa 
1,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . 
2,to be as subtle and touching as the son 's room 
2,starts with a legend 
1,far less sophisticated and 
2,rich veins of funny stuff in this movie 
1,no apparent joy 
1,shot on ugly digital video 
1,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' 
1,"though ford and neeson capably hold our interest , but its just not a thrilling movie "
2,is pretty damned funny . 
1,we never feel anything for these characters 
1,'s a lousy one at that 
1,the corporate circus that is the recording industry in the current climate of mergers and downsizing 
2,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . "
1,of the most highly-praised disappointments i 
1,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . "
2,seem fresh 
1,to the dustbin of history 
1,"as a director , eastwood is off his game "
2,pays earnest homage to turntablists 
1,weak and 
1,"skip this dreck , "
1,contains very few laughs and even less surprises 
2,film to affirm love 's power to help people endure almost unimaginable horror 
2,are an absolute joy 
2,generates 
2,", like life , is n't much fun without the highs and lows "
2,based on a true and historically significant story 
2,well-rounded tribute 
1,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . "
2,so much like a young robert deniro 
2,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . "
2,fashioning an engrossing entertainment out 
2,spiffy animated feature 
1,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer 
2,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life "
1,strung-together moments 
2,", generous and subversive artworks "
2,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world "
2,funny yet 
1,overbearing and over-the-top 
2,it 's robert duvall ! 
2,rich and sudden wisdom 
2,"acted and directed , it 's clear that washington most certainly has a new career ahead of him "
2,in memory 
2,respectable new one 
1,yet this grating showcase 
2,hate to tear your eyes away from the images long enough to read the subtitles 
1,addition to sporting one of the worst titles in recent cinematic history 
2,", this gender-bending comedy is generally quite funny . "
1,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year "
1,do n't work in concert 
2,"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . "
2,would have liked it more if it had just gone that one step further 
1,"it 's too harsh to work as a piece of storytelling , "
2,hawaiian shirt 
2,"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . "
2,provide its keenest pleasures 
1,altogether too slight to be called any kind of masterpiece 
1,grievous but 
1,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . "
1,hopeless 
2,"unpretentious , charming , quirky , original "
1,nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . 
2,very well-written and very well-acted . 
1,are n't many conclusive answers in the film 
1,"clumsy dialogue , heavy-handed phoney-feeling sentiment , "
1,"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . "
2,bring tissues . 
1,the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . 
2,brings the proper conviction to his role as ( jason bourne ) . 
2,"as a young woman of great charm , generosity and diplomacy "
2,there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . 
1,just too silly 
2,cinematic bon bons 
1,it is supremely unfunny and unentertaining to watch middle-age and 
2,a lively and engaging examination of how similar obsessions can dominate a family . 
1,irritates and 
1,collapse 
2,so many of the challenges it poses for itself that one can forgive the film its flaws 
2,", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . "
2,wide-awake all the way through 
1,"( vainly , i think ) "
1,is one big excuse to play one lewd scene after another . 
2,is effective if you stick with it 
2,that underscore the importance of family tradition and familial community 
2,"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans "
1,"watching this digital-effects-heavy , supposed family-friendly comedy "
1,absolutely and completely ridiculous and 
2,'s a very tasteful rock and roll movie . 
1,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . "
2,realistic portrayal 
1,"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story "
2,well-thought stunts or 
2,reveals how important our special talents can be when put in service of of others . 
1,no lika da 
2,a welcome relief 
2,the promise of digital filmmaking 
1,just one that could easily wait for your pay per view dollar 
1,justify a theatrical simulation of the death camp of auschwitz ii-birkenau 
2,extraordinary faith 
2,have i seen a film so willing to champion the fallibility of the human heart 
2,", sometimes beautiful adaptation "
1,about as interesting 
2,"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . "
1,"overlong , and bombastic "
1,derivative and hammily 
2,"most audacious , outrageous , "
2,at its best moments 
1,disney again ransacks its archives for a quick-buck sequel . 
2,"that final , beautiful scene "
2,"some movies suck you in despite their flaws , "
2,"eats , meddles , argues , laughs , kibbitzes and fights "
1,"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . "
2,", compelling "
2,infectiously 
2,"the picture runs a mere 84 minutes , but it 's no glance . "
1,think of this dog of a movie 
2,'s remarkable procession of sweeping pictures that have reinvigorated the romance genre . 
1,those so-so films that could have been much better 
